cas_number,chemical_name,wave,original_candidate_source,selection_source,selection_reason,selection_evidence,csv_assigned_group_id,true_cameo_groups,risk_relation,section10_categories,coverage_role,pubchem_verified,safety_flag,in_eval_testset,collection_status,selection_status
7440-65-5,YTTRIUM,wave2,reaction_frequency_high,wave2_expansion,실측 §10 위험관계 고빈도 그룹(위험관계=metal) 소속으로 무제한 편입,"01_collection/expand_by_reaction_frequency.py FREQ_GROUPS + docs/decisions.md §1.2a-upd | signature_duplicate_of=7440-36-0(동일 true_cameo_groups=(41,) 조합 물질 12종 중 대표 1종 제외 나머지)",41,41,metal,water,,MATCH,NOT_CHECKED,False,COLLECTED,DUPLICATE
7440-67-7,ZIRCONIUM POWDER WET,wave2,reaction_frequency_high,wave2_expansion,"실측 §10 위험관계 고빈도 그룹(위험관계=metal,water) 소속으로 무제한 편입","01_collection/expand_by_reaction_frequency.py FREQ_GROUPS + docs/decisions.md §1.2a-upd | signature_duplicate_of=7440-32-6(동일 true_cameo_groups=(41, 68) 조합 물질 3종 중 대표 1종 제외 나머지)",41,41;68,metal;water,water,,MATCH,NOT_CHECKED,False,COLLECTED,DUPLICATE
7440-70-2,CALCIUM,wave2,reaction_frequency_high,wave2_expansion,실측 §10 위험관계 고빈도 그룹(위험관계=metal) 소속으로 무제한 편입,"01_collection/expand_by_reaction_frequency.py FREQ_GROUPS + docs/decisions.md §1.2a-upd | signature_duplicate_of=7440-36-0(동일 true_cameo_groups=(41,) 조합 물질 12종 중 대표 1종 제외 나머지)",41,41,metal,water,,MATCH,NOT_CHECKED,False,COLLECTED,DUPLICATE
7440-74-6,INDIUM,wave2,reaction_frequency_high,wave2_expansion,실측 §10 위험관계 고빈도 그룹(위험관계=metal) 소속으로 무제한 편입,"01_collection/expand_by_reaction_frequency.py FREQ_GROUPS + docs/decisions.md §1.2a-upd | signature_duplicate_of=7440-36-0(동일 true_cameo_groups=(41,) 조합 물질 12종 중 대표 1종 제외 나머지)",41,41,metal,water,,MATCH,NOT_CHECKED,False,COLLECTED,DUPLICATE
7782-49-2,SELENIUM POWDER,wave2,reaction_frequency_high,wave2_expansion,실측 §10 위험관계 고빈도 그룹(위험관계=metal) 소속으로 무제한 편입,"01_collection/expand_by_reaction_frequency.py FREQ_GROUPS + docs/decisions.md §1.2a-upd | signature_duplicate_of=7440-36-0(동일 true_cameo_groups=(41,) 조합 물질 12종 중 대표 1종 제외 나머지)",41,41,metal,no_data,,MATCH,NOT_CHECKED,False,COLLECTED,DUPLICATE
8049-17-0,FERROSILICON,wave2,reaction_frequency_high,wave2_expansion,실측 §10 위험관계 고빈도 그룹(위험관계=metal) 소속으로 무제한 편입,"01_collection/expand_by_reaction_frequency.py FREQ_GROUPS + docs/decisions.md §1.2a-upd | signature_duplicate_of=7440-36-0(동일 true_cameo_groups=(41,) 조합 물질 12종 중 대표 1종 제외 나머지)",41,41,metal,water,,MATCH,NOT_CHECKED,False,COLLECTED,DUPLICATE
13494-80-9,TELLURIUM,wave2,reaction_frequency_high,wave2_expansion,실측 §10 위험관계 고빈도 그룹(위험관계=metal) 소속으로 무제한 편입,01_collection/expand_by_reaction_frequency.py FREQ_GROUPS + docs/decisions.md §1.2a-upd,42,42,metal,no_data,,MATCH,NOT_CHECKED,False,COLLECTED,REVIEW
15385-58-7,MERCUROUS BROMIDE,wave2,reaction_frequency_high,wave2_expansion,실측 §10 위험관계 고빈도 그룹(위험관계=metal) 소속으로 무제한 편입,01_collection/expand_by_reaction_frequency.py FREQ_GROUPS + docs/decisions.md §1.2a-upd,42,42;47,metal,combustible_reducing;metal;water,,MATCH,NOT_CHECKED,False,COLLECTED,REVIEW
15829-53-5,MERCURY OXIDE,wave2,reaction_frequency_high,wave2_expansion,"실측 §10 위험관계 고빈도 그룹(위험관계=metal,oxidizer) 소속으로 무제한 편입",01_collection/expand_by_reaction_frequency.py FREQ_GROUPS + docs/decisions.md §1.2a-upd,42,42;51,metal;oxidizer,no_data,,MATCH,NOT_CHECKED,False,COLLECTED,REVIEW
21908-53-2,"MERCURIC OXIDE, [SOLID]",wave2,reaction_frequency_high,wave2_expansion,"실측 §10 위험관계 고빈도 그룹(위험관계=metal,oxidizer) 소속으로 무제한 편입","01_collection/expand_by_reaction_frequency.py FREQ_GROUPS + docs/decisions.md §1.2a-upd | signature_duplicate_of=15829-53-5(동일 true_cameo_groups=(42, 51) 조합 물질 2종 중 대표 1종 제외 나머지)",42,42;51,metal;oxidizer,no_data,,MATCH,NOT_CHECKED,False,COLLECTED,DUPLICATE
63937-14-4,MERCURY GLUCONATE,wave2,reaction_frequency_high,wave2_expansion,실측 §10 위험관계 고빈도 그룹(위험관계=metal) 소속으로 무제한 편입,01_collection/expand_by_reaction_frequency.py FREQ_GROUPS + docs/decisions.md §1.2a-upd,42,8;42;61,metal,,,MATCH,NOT_CHECKED,False,ABSTAIN_NOT_FOUND,NOT_COLLECTED
7439-92-1,LEAD,wave2,reaction_frequency_high,wave2_expansion,실측 §10 위험관계 고빈도 그룹(위험관계=metal) 소속으로 무제한 편입,"01_collection/expand_by_reaction_frequency.py FREQ_GROUPS + docs/decisions.md §1.2a-upd | signature_duplicate_of=13494-80-9(동일 true_cameo_groups=(42,) 조합 물질 12종 중 대표 1종 제외 나머지)",42,42,metal,combustible_reducing;water,,MATCH,NOT_CHECKED,False,COLLECTED,DUPLICATE
7439-96-5,MANGANESE,wave2,reaction_frequency_high,wave2_expansion,실측 §10 위험관계 고빈도 그룹(위험관계=metal) 소속으로 무제한 편입,"01_collection/expand_by_reaction_frequency.py FREQ_GROUPS + docs/decisions.md §1.2a-upd | signature_duplicate_of=13494-80-9(동일 true_cameo_groups=(42,) 조합 물질 12종 중 대표 1종 제외 나머지)",42,42,metal,water,,MATCH,NOT_CHECKED,False,COLLECTED,DUPLICATE
7439-98-7,MOLYBDENUM,wave2,reaction_frequency_high,wave2_expansion,실측 §10 위험관계 고빈도 그룹(위험관계=metal) 소속으로 무제한 편입,"01_collection/expand_by_reaction_frequency.py FREQ_GROUPS + docs/decisions.md §1.2a-upd | signature_duplicate_of=13494-80-9(동일 true_cameo_groups=(42,) 조합 물질 12종 중 대표 1종 제외 나머지)",42,42,metal,water,,MATCH,NOT_CHECKED,False,COLLECTED,DUPLICATE
7440-06-4,PLATINUM,wave2,reaction_frequency_high,wave2_expansion,실측 §10 위험관계 고빈도 그룹(위험관계=metal) 소속으로 무제한 편입,"01_collection/expand_by_reaction_frequency.py FREQ_GROUPS + docs/decisions.md §1.2a-upd | signature_duplicate_of=13494-80-9(동일 true_cameo_groups=(42,) 조합 물질 12종 중 대표 1종 제외 나머지)",42,42,metal,water,,MATCH,NOT_CHECKED,False,COLLECTED,DUPLICATE
7440-16-6,RHODIUM (METAL FUME),wave2,reaction_frequency_high,wave2_expansion,실측 §10 위험관계 고빈도 그룹(위험관계=metal) 소속으로 무제한 편입,"01_collection/expand_by_reaction_frequency.py FREQ_GROUPS + docs/decisions.md §1.2a-upd | signature_duplicate_of=13494-80-9(동일 true_cameo_groups=(42,) 조합 물질 12종 중 대표 1종 제외 나머지)",42,42,metal,water,,MATCH,NOT_CHECKED,False,COLLECTED,DUPLICATE
7440-22-4,SILVER,wave2,reaction_frequency_high,wave2_expansion,실측 §10 위험관계 고빈도 그룹(위험관계=metal) 소속으로 무제한 편입,"01_collection/expand_by_reaction_frequency.py FREQ_GROUPS + docs/decisions.md §1.2a-upd | signature_duplicate_of=13494-80-9(동일 true_cameo_groups=(42,) 조합 물질 12종 중 대표 1종 제외 나머지)",42,42,metal,combustible_reducing;water,,MATCH,NOT_CHECKED,False,COLLECTED,DUPLICATE
7440-28-0,THALLIUM,wave2,reaction_frequency_high,wave2_expansion,실측 §10 위험관계 고빈도 그룹(위험관계=metal) 소속으로 무제한 편입,"01_collection/expand_by_reaction_frequency.py FREQ_GROUPS + docs/decisions.md §1.2a-upd | signature_duplicate_of=13494-80-9(동일 true_cameo_groups=(42,) 조합 물질 12종 중 대표 1종 제외 나머지)",42,42,metal,no_data,,MATCH,NOT_CHECKED,False,COLLECTED,DUPLICATE
7440-31-5,TIN,wave2,reaction_frequency_high,wave2_expansion,실측 §10 위험관계 고빈도 그룹(위험관계=metal) 소속으로 무제한 편입,"01_collection/expand_by_reaction_frequency.py FREQ_GROUPS + docs/decisions.md §1.2a-upd | signature_duplicate_of=13494-80-9(동일 true_cameo_groups=(42,) 조합 물질 12종 중 대표 1종 제외 나머지)",42,42,metal,combustible_reducing;water,,MATCH,NOT_CHECKED,False,COLLECTED,DUPLICATE
7440-33-7,TUNGSTEN,wave2,reaction_frequency_high,wave2_expansion,실측 §10 위험관계 고빈도 그룹(위험관계=metal) 소속으로 무제한 편입,"01_collection/expand_by_reaction_frequency.py FREQ_GROUPS + docs/decisions.md §1.2a-upd | signature_duplicate_of=13494-80-9(동일 true_cameo_groups=(42,) 조합 물질 12종 중 대표 1종 제외 나머지)",42,42,metal,water,,MATCH,NOT_CHECKED,False,COLLECTED,DUPLICATE
7440-38-2,ARSENIC,wave2,reaction_frequency_high,wave2_expansion,실측 §10 위험관계 고빈도 그룹(위험관계=metal) 소속으로 무제한 편입,"01_collection/expand_by_reaction_frequency.py FREQ_GROUPS + docs/decisions.md §1.2a-upd | signature_duplicate_of=13494-80-9(동일 true_cameo_groups=(42,) 조합 물질 12종 중 대표 1종 제외 나머지)",42,42,metal,no_data,,MATCH,NOT_CHECKED,False,COLLECTED,DUPLICATE
7440-55-3,GALLIUM,wave2,reaction_frequency_high,wave2_expansion,실측 §10 위험관계 고빈도 그룹(위험관계=metal) 소속으로 무제한 편입,"01_collection/expand_by_reaction_frequency.py FREQ_GROUPS + docs/decisions.md §1.2a-upd | signature_duplicate_of=13494-80-9(동일 true_cameo_groups=(42,) 조합 물질 12종 중 대표 1종 제외 나머지)",42,42,metal,no_data,,MATCH,NOT_CHECKED,False,COLLECTED,DUPLICATE
7487-94-7,MERCURIC CHLORIDE,wave2,reaction_frequency_high,wave2_expansion,실측 §10 위험관계 고빈도 그룹(위험관계=metal) 소속으로 무제한 편입,01_collection/expand_by_reaction_frequency.py FREQ_GROUPS + docs/decisions.md §1.2a-upd,42,42;60,metal,combustible_reducing;metal;water,,MATCH,NOT_CHECKED,False,COLLECTED,REVIEW
7647-10-1,PALLADIUM CHLORIDE,wave2,reaction_frequency_high,wave2_expansion,"실측 §10 위험관계 고빈도 그룹(위험관계=metal,oxidizer) 소속으로 무제한 편입",01_collection/expand_by_reaction_frequency.py FREQ_GROUPS + docs/decisions.md §1.2a-upd,42,42;51;60,metal;oxidizer,combustible_reducing;water,,MATCH,NOT_CHECKED,False,COLLECTED,REVIEW
7774-29-0,MERCURY IODIDE,wave2,reaction_frequency_high,wave2_expansion,"실측 §10 위험관계 고빈도 그룹(위험관계=metal,reducer) 소속으로 무제한 편입",01_collection/expand_by_reaction_frequency.py FREQ_GROUPS + docs/decisions.md §1.2a-upd,42,42;59,metal;reducer,no_data,,MATCH,NOT_CHECKED,False,COLLECTED,REVIEW
7783-33-7,"MERCURIC POTASSIUM IODIDE, [SOLID]",wave2,reaction_frequency_high,wave2_expansion,실측 §10 위험관계 고빈도 그룹(위험관계=metal) 소속으로 무제한 편입,"01_collection/expand_by_reaction_frequency.py FREQ_GROUPS + docs/decisions.md §1.2a-upd | signature_duplicate_of=7487-94-7(동일 true_cameo_groups=(42, 60) 조합 물질 4종 중 대표 1종 제외 나머지)",42,42;60,metal,no_data,,MATCH,NOT_CHECKED,False,COLLECTED,DUPLICATE
7783-35-9,MERCURIC SULFATE,wave2,reaction_frequency_high,wave2_expansion,실측 §10 위험관계 고빈도 그룹(위험관계=metal) 소속으로 무제한 편입,"01_collection/expand_by_reaction_frequency.py FREQ_GROUPS + docs/decisions.md §1.2a-upd | signature_duplicate_of=7487-94-7(동일 true_cameo_groups=(42, 60) 조합 물질 4종 중 대표 1종 제외 나머지)",42,42;60,metal,no_data,,MATCH,NOT_CHECKED,False,COLLECTED,DUPLICATE
7783-36-0,MERCUROUS SULFATE,wave2,reaction_frequency_high,wave2_expansion,실측 §10 위험관계 고빈도 그룹(위험관계=metal) 소속으로 무제한 편입,"01_collection/expand_by_reaction_frequency.py FREQ_GROUPS + docs/decisions.md §1.2a-upd | signature_duplicate_of=7487-94-7(동일 true_cameo_groups=(42, 60) 조합 물질 4종 중 대표 1종 제외 나머지)",42,42;60,metal,no_data,,MATCH,NOT_CHECKED,False,COLLECTED,DUPLICATE
7789-47-1,MERCURIC BROMIDE,wave2,reaction_frequency_high,wave2_expansion,실측 §10 위험관계 고빈도 그룹(위험관계=metal) 소속으로 무제한 편입,"01_collection/expand_by_reaction_frequency.py FREQ_GROUPS + docs/decisions.md §1.2a-upd | signature_duplicate_of=15385-58-7(동일 true_cameo_groups=(42, 47) 조합 물질 2종 중 대표 1종 제외 나머지)",42,42;47,metal,combustible_reducing;metal;water,,MATCH,NOT_CHECKED,False,COLLECTED,DUPLICATE
8049-19-2,FERROPHOSPHORUS,wave2,reaction_frequency_high,wave2_expansion,실측 §10 위험관계 고빈도 그룹(위험관계=metal) 소속으로 무제한 편입,01_collection/expand_by_reaction_frequency.py FREQ_GROUPS + docs/decisions.md §1.2a-upd,42,42,metal,,,MATCH,NOT_CHECKED,False,ABSTAIN_NOT_FOUND,NOT_COLLECTED
10137-74-3,CALCIUM CHLORATE,wave2,reaction_frequency_high,wave2_expansion,"실측 §10 위험관계 고빈도 그룹(위험관계=oxidizer,water) 소속으로 무제한 편입",01_collection/expand_by_reaction_frequency.py FREQ_GROUPS + docs/decisions.md §1.2a-upd,50,50;61;68,oxidizer;water,combustible_reducing;water,,MATCH,NOT_CHECKED,False,COLLECTED,REVIEW
10326-21-3,MAGNESIUM CHLORATE,wave2,reaction_frequency_high,wave2_expansion,실측 §10 위험관계 고빈도 그룹(위험관계=oxidizer) 소속으로 무제한 편입,01_collection/expand_by_reaction_frequency.py FREQ_GROUPS + docs/decisions.md §1.2a-upd,50,50,oxidizer,no_data,,MATCH,NOT_CHECKED,False,COLLECTED,REVIEW
10361-95-2,ZINC CHLORATE,wave2,reaction_frequency_high,wave2_expansion,실측 §10 위험관계 고빈도 그룹(위험관계=oxidizer) 소속으로 무제한 편입,"01_collection/expand_by_reaction_frequency.py FREQ_GROUPS + docs/decisions.md §1.2a-upd | signature_duplicate_of=10326-21-3(동일 true_cameo_groups=(50,) 조합 물질 25종 중 대표 1종 제외 나머지)",50,50,oxidizer,no_data,,MATCH,NOT_CHECKED,False,COLLECTED,DUPLICATE
11084-85-8,CHLORINATED TRISODIUM PHOSPHATE,wave2,reaction_frequency_high,wave2_expansion,실측 §10 위험관계 고빈도 그룹(위험관계=oxidizer) 소속으로 무제한 편입,01_collection/expand_by_reaction_frequency.py FREQ_GROUPS + docs/decisions.md §1.2a-upd,50,50;61,oxidizer,combustible_reducing;water,,MATCH,NOT_CHECKED,False,COLLECTED,REVIEW
1189-85-1,T-BUTYL CHROMATE,wave2,reaction_frequency_high,wave2_expansion,실측 §10 위험관계 고빈도 그룹(위험관계=oxidizer) 소속으로 무제한 편입,"01_collection/expand_by_reaction_frequency.py FREQ_GROUPS + docs/decisions.md §1.2a-upd | signature_duplicate_of=10326-21-3(동일 true_cameo_groups=(50,) 조합 물질 25종 중 대표 1종 제외 나머지)",50,50,oxidizer,combustible_reducing;water,,MATCH,NOT_CHECKED,False,COLLECTED,DUPLICATE
12034-12-7,SODIUM SUPEROXIDE,wave2,reaction_frequency_high,wave2_expansion,실측 §10 위험관계 고빈도 그룹(위험관계=oxidizer) 소속으로 무제한 편입,01_collection/expand_by_reaction_frequency.py FREQ_GROUPS + docs/decisions.md §1.2a-upd | evaluation_data:gold_abstain.jsonl:nomsds::12034-12-7,50,18;50,oxidizer,,,MATCH,NOT_CHECKED,True,ABSTAIN_NOT_FOUND,NOT_COLLECTED
12036-71-4,URANIUM PEROXIDE,wave2,reaction_frequency_high,wave2_expansion,실측 §10 위험관계 고빈도 그룹(위험관계=oxidizer) 소속으로 무제한 편입,01_collection/expand_by_reaction_frequency.py FREQ_GROUPS + docs/decisions.md §1.2a-upd,50,50,oxidizer,,,MATCH,NOT_CHECKED,False,ABSTAIN_NOT_FOUND,NOT_COLLECTED
1304-29-6,BARIUM PEROXIDE,wave2,reaction_frequency_high,wave2_expansion,실측 §10 위험관계 고빈도 그룹(위험관계=oxidizer) 소속으로 무제한 편입,"01_collection/expand_by_reaction_frequency.py FREQ_GROUPS + docs/decisions.md §1.2a-upd | signature_duplicate_of=11084-85-8(동일 true_cameo_groups=(50, 61) 조합 물질 15종 중 대표 1종 제외 나머지)",50,50;61,oxidizer,combustible_reducing;water,,MATCH,NOT_CHECKED,False,COLLECTED,DUPLICATE
1305-79-9,CALCIUM PEROXIDE,wave2,reaction_frequency_high,wave2_expansion,실측 §10 위험관계 고빈도 그룹(위험관계=oxidizer) 소속으로 무제한 편입,"01_collection/expand_by_reaction_frequency.py FREQ_GROUPS + docs/decisions.md §1.2a-upd | signature_duplicate_of=11084-85-8(동일 true_cameo_groups=(50, 61) 조합 물질 15종 중 대표 1종 제외 나머지)",50,50;61,oxidizer,combustible_reducing;water,,MATCH,NOT_CHECKED,False,COLLECTED,DUPLICATE
1309-60-0,LEAD DIOXIDE,wave2,reaction_frequency_high,wave2_expansion,실측 §10 위험관계 고빈도 그룹(위험관계=oxidizer) 소속으로 무제한 편입,"01_collection/expand_by_reaction_frequency.py FREQ_GROUPS + docs/decisions.md §1.2a-upd | signature_duplicate_of=10326-21-3(동일 true_cameo_groups=(50,) 조합 물질 25종 중 대표 1종 제외 나머지)",50,50,oxidizer,combustible_reducing;water,,MATCH,NOT_CHECKED,False,COLLECTED,DUPLICATE
1313-60-6,SODIUM PEROXIDE,wave2,reaction_frequency_high,wave2_expansion,실측 §10 위험관계 고빈도 그룹(위험관계=oxidizer) 소속으로 무제한 편입,01_collection/expand_by_reaction_frequency.py FREQ_GROUPS + docs/decisions.md §1.2a-upd,50,18;50,oxidizer,no_data,,MATCH,NOT_CHECKED,False,COLLECTED,REVIEW
1314-18-7,STRONTIUM PEROXIDE,wave2,reaction_frequency_high,wave2_expansion,실측 §10 위험관계 고빈도 그룹(위험관계=oxidizer) 소속으로 무제한 편입,"01_collection/expand_by_reaction_frequency.py FREQ_GROUPS + docs/decisions.md §1.2a-upd | signature_duplicate_of=1313-60-6(동일 true_cameo_groups=(18, 50) 조합 물질 3종 중 대표 1종 제외 나머지)",50,18;50,oxidizer,combustible_reducing;water,,MATCH,NOT_CHECKED,False,COLLECTED,DUPLICATE
1314-22-3,ZINC PEROXIDE,wave2,reaction_frequency_high,wave2_expansion,실측 §10 위험관계 고빈도 그룹(위험관계=oxidizer) 소속으로 무제한 편입,"01_collection/expand_by_reaction_frequency.py FREQ_GROUPS + docs/decisions.md §1.2a-upd | signature_duplicate_of=10326-21-3(동일 true_cameo_groups=(50,) 조합 물질 25종 중 대표 1종 제외 나머지)",50,50,oxidizer,combustible_reducing;water,,MATCH,NOT_CHECKED,False,COLLECTED,DUPLICATE
1314-62-1,VANADIUM PENTOXIDE,wave2,reaction_frequency_high,wave2_expansion,실측 §10 위험관계 고빈도 그룹(위험관계=oxidizer) 소속으로 무제한 편입,01_collection/expand_by_reaction_frequency.py FREQ_GROUPS + docs/decisions.md §1.2a-upd,50,50;60,oxidizer,no_data,,MATCH,NOT_CHECKED,False,COLLECTED,REVIEW
1317-35-7,MANGANESE TETROXIDE,wave2,reaction_frequency_high,wave2_expansion,실측 §10 위험관계 고빈도 그룹(위험관계=oxidizer) 소속으로 무제한 편입,"01_collection/expand_by_reaction_frequency.py FREQ_GROUPS + docs/decisions.md §1.2a-upd | signature_duplicate_of=11084-85-8(동일 true_cameo_groups=(50, 61) 조합 물질 15종 중 대표 1종 제외 나머지)",50,50;61,oxidizer,combustible_reducing;water,,MATCH,NOT_CHECKED,False,COLLECTED,DUPLICATE
1333-82-0,"CHROMIUM TRIOXIDE, ANHYDROUS",wave2,reaction_frequency_high,wave2_expansion,실측 §10 위험관계 고빈도 그룹(위험관계=oxidizer) 소속으로 무제한 편입,01_collection/expand_by_reaction_frequency.py FREQ_GROUPS + docs/decisions.md §1.2a-upd,50,15;50,oxidizer,no_data,,MATCH,NOT_CHECKED,False,COLLECTED,REVIEW
13446-10-1,AMMONIUM PERMANGANATE,wave2,reaction_frequency_high,wave2_expansion,실측 §10 위험관계 고빈도 그룹(위험관계=oxidizer) 소속으로 무제한 편입,"01_collection/expand_by_reaction_frequency.py FREQ_GROUPS + docs/decisions.md §1.2a-upd | signature_duplicate_of=1314-62-1(동일 true_cameo_groups=(50, 60) 조합 물질 5종 중 대표 1종 제외 나머지)",50,50;60,oxidizer,combustible_reducing;water,,MATCH,NOT_CHECKED,False,COLLECTED,DUPLICATE
13450-97-0,STRONTIUM PERCHLORATE,wave2,reaction_frequency_high,wave2_expansion,실측 §10 위험관계 고빈도 그룹(위험관계=oxidizer) 소속으로 무제한 편입,"01_collection/expand_by_reaction_frequency.py FREQ_GROUPS + docs/decisions.md §1.2a-upd | signature_duplicate_of=10326-21-3(동일 true_cameo_groups=(50,) 조합 물질 25종 중 대표 1종 제외 나머지)",50,50,oxidizer,combustible_reducing;water,,MATCH,NOT_CHECKED,False,COLLECTED,DUPLICATE
13453-30-0,THALLIUM CHLORATE,wave2,reaction_frequency_high,wave2_expansion,실측 §10 위험관계 고빈도 그룹(위험관계=oxidizer) 소속으로 무제한 편입,01_collection/expand_by_reaction_frequency.py FREQ_GROUPS + docs/decisions.md §1.2a-upd,50,50,oxidizer,,,MATCH,NOT_CHECKED,False,ABSTAIN_NOT_FOUND,NOT_COLLECTED
13477-10-6,"BARIUM HYPOCHLORITE, WITH MORE THAN 22% AVAILABLE CHLORINE",wave2,reaction_frequency_high,wave2_expansion,실측 §10 위험관계 고빈도 그룹(위험관계=oxidizer) 소속으로 무제한 편입,"01_collection/expand_by_reaction_frequency.py FREQ_GROUPS + docs/decisions.md §1.2a-upd | signature_duplicate_of=11084-85-8(동일 true_cameo_groups=(50, 61) 조합 물질 15종 중 대표 1종 제외 나머지)",50,50;61,oxidizer,combustible_reducing;water,,MATCH,NOT_CHECKED,False,COLLECTED,DUPLICATE
13477-36-6,CALCIUM PERCHLORATE,wave2,reaction_frequency_high,wave2_expansion,실측 §10 위험관계 고빈도 그룹(위험관계=oxidizer) 소속으로 무제한 편입,"01_collection/expand_by_reaction_frequency.py FREQ_GROUPS + docs/decisions.md §1.2a-upd | signature_duplicate_of=10326-21-3(동일 true_cameo_groups=(50,) 조합 물질 25종 중 대표 1종 제외 나머지)",50,50,oxidizer,combustible_reducing;water,,MATCH,NOT_CHECKED,False,COLLECTED,DUPLICATE
13530-65-9,ZINC CHROMATE,wave2,reaction_frequency_high,wave2_expansion,실측 §10 위험관계 고빈도 그룹(위험관계=oxidizer) 소속으로 무제한 편입,"01_collection/expand_by_reaction_frequency.py FREQ_GROUPS + docs/decisions.md §1.2a-upd | signature_duplicate_of=11084-85-8(동일 true_cameo_groups=(50, 61) 조합 물질 15종 중 대표 1종 제외 나머지)",50,50;61,oxidizer,no_data,,MATCH,NOT_CHECKED,False,COLLECTED,DUPLICATE
13637-76-8,LEAD PERCHLORATE,wave2,reaction_frequency_high,wave2_expansion,실측 §10 위험관계 고빈도 그룹(위험관계=oxidizer) 소속으로 무제한 편입,"01_collection/expand_by_reaction_frequency.py FREQ_GROUPS + docs/decisions.md §1.2a-upd | signature_duplicate_of=10326-21-3(동일 true_cameo_groups=(50,) 조합 물질 25종 중 대표 1종 제외 나머지)",50,50,oxidizer,combustible_reducing;water,,MATCH,NOT_CHECKED,False,COLLECTED,DUPLICATE
13765-19-0,CALCIUM CHROMATE,wave2,reaction_frequency_high,wave2_expansion,실측 §10 위험관계 고빈도 그룹(위험관계=oxidizer) 소속으로 무제한 편입,"01_collection/expand_by_reaction_frequency.py FREQ_GROUPS + docs/decisions.md §1.2a-upd | signature_duplicate_of=11084-85-8(동일 true_cameo_groups=(50, 61) 조합 물질 15종 중 대표 1종 제외 나머지)",50,50;61,oxidizer,no_data,,MATCH,NOT_CHECKED,False,COLLECTED,DUPLICATE
13768-86-0,SELENIUM TRIOXIDE,wave2,reaction_frequency_high,wave2_expansion,실측 §10 위험관계 고빈도 그룹(위험관계=oxidizer) 소속으로 무제한 편입,01_collection/expand_by_reaction_frequency.py FREQ_GROUPS + docs/decisions.md §1.2a-upd,50,50,oxidizer,,,MATCH,NOT_CHECKED,False,ABSTAIN_NOT_FOUND,NOT_COLLECTED
13843-81-7,LITHIUM DICHROMATE,wave2,reaction_frequency_high,wave2_expansion,실측 §10 위험관계 고빈도 그룹(위험관계=oxidizer) 소속으로 무제한 편입,01_collection/expand_by_reaction_frequency.py FREQ_GROUPS + docs/decisions.md §1.2a-upd,50,50;61,oxidizer,,,MATCH,NOT_CHECKED,False,ABSTAIN_NOT_FOUND,NOT_COLLECTED
13967-90-3,BARIUM BROMATE,wave2,reaction_frequency_high,wave2_expansion,실측 §10 위험관계 고빈도 그룹(위험관계=oxidizer) 소속으로 무제한 편입,"01_collection/expand_by_reaction_frequency.py FREQ_GROUPS + docs/decisions.md §1.2a-upd | signature_duplicate_of=10326-21-3(동일 true_cameo_groups=(50,) 조합 물질 25종 중 대표 1종 제외 나머지)",50,50,oxidizer,combustible_reducing;water,,MATCH,NOT_CHECKED,False,COLLECTED,DUPLICATE
14018-95-2,ZINC DICHROMATE,wave2,reaction_frequency_high,wave2_expansion,실측 §10 위험관계 고빈도 그룹(위험관계=oxidizer) 소속으로 무제한 편입,"01_collection/expand_by_reaction_frequency.py FREQ_GROUPS + docs/decisions.md §1.2a-upd | signature_duplicate_of=11084-85-8(동일 true_cameo_groups=(50, 61) 조합 물질 15종 중 대표 1종 제외 나머지)",50,50;61,oxidizer,combustible_reducing;metal;water,,MATCH,NOT_CHECKED,False,COLLECTED,DUPLICATE
14307-35-8,LITHIUM CHROMATE,wave2,reaction_frequency_high,wave2_expansion,실측 §10 위험관계 고빈도 그룹(위험관계=oxidizer) 소속으로 무제한 편입,"01_collection/expand_by_reaction_frequency.py FREQ_GROUPS + docs/decisions.md §1.2a-upd | signature_duplicate_of=11084-85-8(동일 true_cameo_groups=(50, 61) 조합 물질 15종 중 대표 1종 제외 나머지)",50,50;61,oxidizer,combustible_reducing;water,,MATCH,NOT_CHECKED,False,COLLECTED,DUPLICATE
14333-13-2,"PERMANGANATE, N.O.S.",wave2,reaction_frequency_high,wave2_expansion,실측 §10 위험관계 고빈도 그룹(위험관계=oxidizer) 소속으로 무제한 편입,01_collection/expand_by_reaction_frequency.py FREQ_GROUPS + docs/decisions.md §1.2a-upd,50,50,oxidizer,,,MATCH,NOT_CHECKED,False,ABSTAIN_NOT_FOUND,NOT_COLLECTED
14452-57-4,MAGNESIUM PEROXIDE,wave2,reaction_frequency_high,wave2_expansion,실측 §10 위험관계 고빈도 그룹(위험관계=oxidizer) 소속으로 무제한 편입,"01_collection/expand_by_reaction_frequency.py FREQ_GROUPS + docs/decisions.md §1.2a-upd | signature_duplicate_of=11084-85-8(동일 true_cameo_groups=(50, 61) 조합 물질 15종 중 대표 1종 제외 나머지)",50,50;61,oxidizer,combustible_reducing;water,,MATCH,NOT_CHECKED,False,COLLECTED,DUPLICATE
14519-07-4,ZINC BROMATE,wave2,reaction_frequency_high,wave2_expansion,실측 §10 위험관계 고빈도 그룹(위험관계=oxidizer) 소속으로 무제한 편입,"01_collection/expand_by_reaction_frequency.py FREQ_GROUPS + docs/decisions.md §1.2a-upd | signature_duplicate_of=10326-21-3(동일 true_cameo_groups=(50,) 조합 물질 25종 중 대표 1종 제외 나머지)",50,50,oxidizer,no_data,,MATCH,NOT_CHECKED,False,COLLECTED,DUPLICATE
