cas,chemical_name,cameo_groups,wave,category,selection_reason,evidence_source,evidence_strength,decision,review_note
7774-29-0,MERCURY IODIDE,42;59,wave2,UNJUSTIFIED,"자동 그룹슬롯 보충 물질 — 자체 §10 근거 없음, 커리큘럼 근거 없음, 소속 그룹도 이미 회소하지 않음(다른 물질로 충분히 대표됨)","없음 (그룹 소속만 확인됨, 물질 단위 개별 근거 없음)",NONE,근거 부족/검토,"그룹조합 자체는 426종 내 유일하나, 그룹이 회소하지 않거나(그룹 내 다른 대표물질 이미 존재) 개별 위험성 근거가 아직 확인되지 않음"
7783-33-7,"MERCURIC POTASSIUM IODIDE, [SOLID]",42;60,wave2,UNJUSTIFIED,"자동 그룹슬롯 보충 물질 — 자체 §10 근거 없음, 커리큘럼 근거 없음, 소속 그룹도 이미 회소하지 않음(다른 물질로 충분히 대표됨)","없음 (그룹 소속만 확인됨, 물질 단위 개별 근거 없음)",NONE,중복 검토(REMOVE/MERGE 후보),동일 CAMEO 그룹조합 보유 물질 3종과 역할 중복 가능: MERCURIC CHLORIDE(7487-94-7); MERCURIC SULFATE(7783-35-9); MERCUROUS SULFATE(7783-36-0)
7783-35-9,MERCURIC SULFATE,42;60,wave2,UNJUSTIFIED,"자동 그룹슬롯 보충 물질 — 자체 §10 근거 없음, 커리큘럼 근거 없음, 소속 그룹도 이미 회소하지 않음(다른 물질로 충분히 대표됨)","없음 (그룹 소속만 확인됨, 물질 단위 개별 근거 없음)",NONE,중복 검토(REMOVE/MERGE 후보),"동일 CAMEO 그룹조합 보유 물질 3종과 역할 중복 가능: MERCURIC CHLORIDE(7487-94-7); MERCURIC POTASSIUM IODIDE, [SOLID](7783-33-7); MERCUROUS SULFATE(7783-36-0)"
7783-36-0,MERCUROUS SULFATE,42;60,wave2,UNJUSTIFIED,"자동 그룹슬롯 보충 물질 — 자체 §10 근거 없음, 커리큘럼 근거 없음, 소속 그룹도 이미 회소하지 않음(다른 물질로 충분히 대표됨)","없음 (그룹 소속만 확인됨, 물질 단위 개별 근거 없음)",NONE,중복 검토(REMOVE/MERGE 후보),"동일 CAMEO 그룹조합 보유 물질 3종과 역할 중복 가능: MERCURIC CHLORIDE(7487-94-7); MERCURIC POTASSIUM IODIDE, [SOLID](7783-33-7); MERCURIC SULFATE(7783-35-9)"
7789-47-1,MERCURIC BROMIDE,42;47,wave2,HAZARD-RELEVANT,"KOSHA MSDS §10.5(피해야 할 물질) 실측 구체적 물질군 근거 존재(combustible_reducing;metal), 위험상호작용: metal",msds_sections §10.5 원문 재파싱 (금속/물/산화제 등 구체적 물질군),INDEPENDENT,유지 권고,
10137-74-3,CALCIUM CHLORATE,50;61;68,wave2,UNJUSTIFIED,"자동 그룹슬롯 보충 물질 — 자체 §10 근거 없음, 커리큘럼 근거 없음, 소속 그룹도 이미 회소하지 않음(다른 물질로 충분히 대표됨)","없음 (그룹 소속만 확인됨, 물질 단위 개별 근거 없음)",NONE,중복 검토(REMOVE/MERGE 후보),"동일 CAMEO 그룹조합 보유 물질 2종과 역할 중복 가능: SODIUM CHROMATE(7775-11-3); POTASSIUM HYPOCHLORITE SOLUTION(7778-66-7) | §10.5에 범용 카테고리 문구('가연성 물질, 환원성 물질')만 있어 CASE 2 기준상 HAZARD-RELEVANT 단독 근거로 불충분(docs/hazard_relevant_sample_audit_2026-08-08.md)"
10326-21-3,MAGNESIUM CHLORATE,50,wave2,UNJUSTIFIED,"자동 그룹슬롯 보충 물질 — 자체 §10 근거 없음, 커리큘럼 근거 없음, 소속 그룹도 이미 회소하지 않음(다른 물질로 충분히 대표됨)","없음 (그룹 소속만 확인됨, 물질 단위 개별 근거 없음)",NONE,중복 검토(REMOVE/MERGE 후보),"동일 CAMEO 그룹조합 보유 물질 29종과 역할 중복 가능: POTASSIUM PERMANGANATE(7722-64-7); MAGNESIUM PERCHLORATE(10034-81-8); SODIUM PERMANGANATE(10101-50-5); CALCIUM PERMANGANATE(10118-76-0); OXYGEN(7782-44-7); ZINC CHLORATE(10361-95-2); T-BUTYL CHROMATE(1189-85-1); LEAD DIOXIDE(1309-60-0); ZINC PEROXIDE(1314-22-3); STRONTIUM PERCHLORATE(13450-97-0); CALCIUM PERCHLORATE(13477-36-6); LEAD PERCHLORATE(13637-76-8); BARIUM BROMATE(13967-90-3); ZINC BROMATE(14519-07-4); MAGNESIUM BROMATE(14519-17-6); BROMATES, INORGANIC, N.O.S.(15541-45-4); OSMIUM TETROXIDE(20816-12-0); ZINC PERMANGANATE(23414-72-4); TERT-BUTYL HYPOCHLORITE(507-40-4); LEAD TETRAACETATE(546-67-8); SELENIUM DIOXIDE(7446-08-4); SODIUM PERCHLORATE(7601-89-0); POTASSIUM PERSULFATE(7727-21-1); POTASSIUM BROMATE(7758-01-2); SODIUM PERSULFATE(7775-27-1); POTASSIUM PERCHLORATE(7778-74-7); BARIUM PERMANGANATE(7787-36-2); SODIUM BROMATE(7789-38-0); STRONTIUM CHLORATE(7791-10-8)"
10361-95-2,ZINC CHLORATE,50,wave2,UNJUSTIFIED,"자동 그룹슬롯 보충 물질 — 자체 §10 근거 없음, 커리큘럼 근거 없음, 소속 그룹도 이미 회소하지 않음(다른 물질로 충분히 대표됨)","없음 (그룹 소속만 확인됨, 물질 단위 개별 근거 없음)",NONE,중복 검토(REMOVE/MERGE 후보),"동일 CAMEO 그룹조합 보유 물질 29종과 역할 중복 가능: POTASSIUM PERMANGANATE(7722-64-7); MAGNESIUM PERCHLORATE(10034-81-8); SODIUM PERMANGANATE(10101-50-5); CALCIUM PERMANGANATE(10118-76-0); OXYGEN(7782-44-7); MAGNESIUM CHLORATE(10326-21-3); T-BUTYL CHROMATE(1189-85-1); LEAD DIOXIDE(1309-60-0); ZINC PEROXIDE(1314-22-3); STRONTIUM PERCHLORATE(13450-97-0); CALCIUM PERCHLORATE(13477-36-6); LEAD PERCHLORATE(13637-76-8); BARIUM BROMATE(13967-90-3); ZINC BROMATE(14519-07-4); MAGNESIUM BROMATE(14519-17-6); BROMATES, INORGANIC, N.O.S.(15541-45-4); OSMIUM TETROXIDE(20816-12-0); ZINC PERMANGANATE(23414-72-4); TERT-BUTYL HYPOCHLORITE(507-40-4); LEAD TETRAACETATE(546-67-8); SELENIUM DIOXIDE(7446-08-4); SODIUM PERCHLORATE(7601-89-0); POTASSIUM PERSULFATE(7727-21-1); POTASSIUM BROMATE(7758-01-2); SODIUM PERSULFATE(7775-27-1); POTASSIUM PERCHLORATE(7778-74-7); BARIUM PERMANGANATE(7787-36-2); SODIUM BROMATE(7789-38-0); STRONTIUM CHLORATE(7791-10-8)"
11084-85-8,CHLORINATED TRISODIUM PHOSPHATE,50;61,wave2,UNJUSTIFIED,"자동 그룹슬롯 보충 물질 — 자체 §10 근거 없음, 커리큘럼 근거 없음, 소속 그룹도 이미 회소하지 않음(다른 물질로 충분히 대표됨)","없음 (그룹 소속만 확인됨, 물질 단위 개별 근거 없음)",NONE,중복 검토(REMOVE/MERGE 후보),"동일 CAMEO 그룹조합 보유 물질 15종과 역할 중복 가능: SODIUM CHROMATE TETRAHYDRATE(10034-82-9); BARIUM PEROXIDE(1304-29-6); CALCIUM PEROXIDE(1305-79-9); MANGANESE TETROXIDE(1317-35-7); BARIUM HYPOCHLORITE, WITH MORE THAN 22% AVAILABLE CHLORINE(13477-10-6); ZINC CHROMATE(13530-65-9); CALCIUM CHROMATE(13765-19-0); ZINC DICHROMATE(14018-95-2); LITHIUM CHROMATE(14307-35-8); MAGNESIUM PEROXIDE(14452-57-4); SODIUM CHLORITE(7758-19-2); LEAD CHROMATE(7758-97-6); POTASSIUM BICHROMATE(7778-50-9); POTASSIUM CHROMATE(7789-00-6); STRONTIUM CHROMATE(7789-06-2) | §10.5에 범용 카테고리 문구('가연성 물질, 환원성 물질')만 있어 CASE 2 기준상 HAZARD-RELEVANT 단독 근거로 불충분(docs/hazard_relevant_sample_audit_2026-08-08.md)"
1189-85-1,T-BUTYL CHROMATE,50,wave2,UNJUSTIFIED,"자동 그룹슬롯 보충 물질 — 자체 §10 근거 없음, 커리큘럼 근거 없음, 소속 그룹도 이미 회소하지 않음(다른 물질로 충분히 대표됨)","없음 (그룹 소속만 확인됨, 물질 단위 개별 근거 없음)",NONE,중복 검토(REMOVE/MERGE 후보),"동일 CAMEO 그룹조합 보유 물질 29종과 역할 중복 가능: POTASSIUM PERMANGANATE(7722-64-7); MAGNESIUM PERCHLORATE(10034-81-8); SODIUM PERMANGANATE(10101-50-5); CALCIUM PERMANGANATE(10118-76-0); OXYGEN(7782-44-7); MAGNESIUM CHLORATE(10326-21-3); ZINC CHLORATE(10361-95-2); LEAD DIOXIDE(1309-60-0); ZINC PEROXIDE(1314-22-3); STRONTIUM PERCHLORATE(13450-97-0); CALCIUM PERCHLORATE(13477-36-6); LEAD PERCHLORATE(13637-76-8); BARIUM BROMATE(13967-90-3); ZINC BROMATE(14519-07-4); MAGNESIUM BROMATE(14519-17-6); BROMATES, INORGANIC, N.O.S.(15541-45-4); OSMIUM TETROXIDE(20816-12-0); ZINC PERMANGANATE(23414-72-4); TERT-BUTYL HYPOCHLORITE(507-40-4); LEAD TETRAACETATE(546-67-8); SELENIUM DIOXIDE(7446-08-4); SODIUM PERCHLORATE(7601-89-0); POTASSIUM PERSULFATE(7727-21-1); POTASSIUM BROMATE(7758-01-2); SODIUM PERSULFATE(7775-27-1); POTASSIUM PERCHLORATE(7778-74-7); BARIUM PERMANGANATE(7787-36-2); SODIUM BROMATE(7789-38-0); STRONTIUM CHLORATE(7791-10-8) | §10.5에 범용 카테고리 문구('가연성 물질, 환원성 물질')만 있어 CASE 2 기준상 HAZARD-RELEVANT 단독 근거로 불충분(docs/hazard_relevant_sample_audit_2026-08-08.md)"
1304-29-6,BARIUM PEROXIDE,50;61,wave2,UNJUSTIFIED,"자동 그룹슬롯 보충 물질 — 자체 §10 근거 없음, 커리큘럼 근거 없음, 소속 그룹도 이미 회소하지 않음(다른 물질로 충분히 대표됨)","없음 (그룹 소속만 확인됨, 물질 단위 개별 근거 없음)",NONE,중복 검토(REMOVE/MERGE 후보),"동일 CAMEO 그룹조합 보유 물질 15종과 역할 중복 가능: SODIUM CHROMATE TETRAHYDRATE(10034-82-9); CHLORINATED TRISODIUM PHOSPHATE(11084-85-8); CALCIUM PEROXIDE(1305-79-9); MANGANESE TETROXIDE(1317-35-7); BARIUM HYPOCHLORITE, WITH MORE THAN 22% AVAILABLE CHLORINE(13477-10-6); ZINC CHROMATE(13530-65-9); CALCIUM CHROMATE(13765-19-0); ZINC DICHROMATE(14018-95-2); LITHIUM CHROMATE(14307-35-8); MAGNESIUM PEROXIDE(14452-57-4); SODIUM CHLORITE(7758-19-2); LEAD CHROMATE(7758-97-6); POTASSIUM BICHROMATE(7778-50-9); POTASSIUM CHROMATE(7789-00-6); STRONTIUM CHROMATE(7789-06-2) | §10.5에 범용 카테고리 문구('가연성 물질, 환원성 물질')만 있어 CASE 2 기준상 HAZARD-RELEVANT 단독 근거로 불충분(docs/hazard_relevant_sample_audit_2026-08-08.md)"
1305-79-9,CALCIUM PEROXIDE,50;61,wave2,UNJUSTIFIED,"자동 그룹슬롯 보충 물질 — 자체 §10 근거 없음, 커리큘럼 근거 없음, 소속 그룹도 이미 회소하지 않음(다른 물질로 충분히 대표됨)","없음 (그룹 소속만 확인됨, 물질 단위 개별 근거 없음)",NONE,중복 검토(REMOVE/MERGE 후보),"동일 CAMEO 그룹조합 보유 물질 15종과 역할 중복 가능: SODIUM CHROMATE TETRAHYDRATE(10034-82-9); CHLORINATED TRISODIUM PHOSPHATE(11084-85-8); BARIUM PEROXIDE(1304-29-6); MANGANESE TETROXIDE(1317-35-7); BARIUM HYPOCHLORITE, WITH MORE THAN 22% AVAILABLE CHLORINE(13477-10-6); ZINC CHROMATE(13530-65-9); CALCIUM CHROMATE(13765-19-0); ZINC DICHROMATE(14018-95-2); LITHIUM CHROMATE(14307-35-8); MAGNESIUM PEROXIDE(14452-57-4); SODIUM CHLORITE(7758-19-2); LEAD CHROMATE(7758-97-6); POTASSIUM BICHROMATE(7778-50-9); POTASSIUM CHROMATE(7789-00-6); STRONTIUM CHROMATE(7789-06-2) | §10.5에 범용 카테고리 문구('가연성 물질, 환원성 물질')만 있어 CASE 2 기준상 HAZARD-RELEVANT 단독 근거로 불충분(docs/hazard_relevant_sample_audit_2026-08-08.md)"
1309-60-0,LEAD DIOXIDE,50,wave2,UNJUSTIFIED,"자동 그룹슬롯 보충 물질 — 자체 §10 근거 없음, 커리큘럼 근거 없음, 소속 그룹도 이미 회소하지 않음(다른 물질로 충분히 대표됨)","없음 (그룹 소속만 확인됨, 물질 단위 개별 근거 없음)",NONE,중복 검토(REMOVE/MERGE 후보),"동일 CAMEO 그룹조합 보유 물질 29종과 역할 중복 가능: POTASSIUM PERMANGANATE(7722-64-7); MAGNESIUM PERCHLORATE(10034-81-8); SODIUM PERMANGANATE(10101-50-5); CALCIUM PERMANGANATE(10118-76-0); OXYGEN(7782-44-7); MAGNESIUM CHLORATE(10326-21-3); ZINC CHLORATE(10361-95-2); T-BUTYL CHROMATE(1189-85-1); ZINC PEROXIDE(1314-22-3); STRONTIUM PERCHLORATE(13450-97-0); CALCIUM PERCHLORATE(13477-36-6); LEAD PERCHLORATE(13637-76-8); BARIUM BROMATE(13967-90-3); ZINC BROMATE(14519-07-4); MAGNESIUM BROMATE(14519-17-6); BROMATES, INORGANIC, N.O.S.(15541-45-4); OSMIUM TETROXIDE(20816-12-0); ZINC PERMANGANATE(23414-72-4); TERT-BUTYL HYPOCHLORITE(507-40-4); LEAD TETRAACETATE(546-67-8); SELENIUM DIOXIDE(7446-08-4); SODIUM PERCHLORATE(7601-89-0); POTASSIUM PERSULFATE(7727-21-1); POTASSIUM BROMATE(7758-01-2); SODIUM PERSULFATE(7775-27-1); POTASSIUM PERCHLORATE(7778-74-7); BARIUM PERMANGANATE(7787-36-2); SODIUM BROMATE(7789-38-0); STRONTIUM CHLORATE(7791-10-8) | §10.5에 범용 카테고리 문구('가연성 물질, 환원성 물질')만 있어 CASE 2 기준상 HAZARD-RELEVANT 단독 근거로 불충분(docs/hazard_relevant_sample_audit_2026-08-08.md)"
1313-60-6,SODIUM PEROXIDE,18;50,wave2,UNJUSTIFIED,"자동 그룹슬롯 보충 물질 — 자체 §10 근거 없음, 커리큘럼 근거 없음, 소속 그룹도 이미 회소하지 않음(다른 물질로 충분히 대표됨)","없음 (그룹 소속만 확인됨, 물질 단위 개별 근거 없음)",NONE,중복 검토(REMOVE/MERGE 후보),동일 CAMEO 그룹조합 보유 물질 4종과 역할 중복 가능: POTASSIUM SUPEROXIDE(12030-88-5); LITHIUM PEROXIDE(12031-80-0); STRONTIUM PEROXIDE(1314-18-7); POTASSIUM PEROXIDE(17014-71-0)
1314-18-7,STRONTIUM PEROXIDE,18;50,wave2,HAZARD-RELEVANT,"KOSHA MSDS §10.5(피해야 할 물질) 실측 구체적 물질군 근거 존재(combustible_reducing;water), 위험상호작용: oxidizer",msds_sections §10.5 원문 재파싱 (금속/물/산화제 등 구체적 물질군),INDEPENDENT,유지 권고,
1314-22-3,ZINC PEROXIDE,50,wave2,HAZARD-RELEVANT,"KOSHA MSDS §10.5(피해야 할 물질) 실측 구체적 물질군 근거 존재(combustible_reducing;water), 위험상호작용: oxidizer",msds_sections §10.5 원문 재파싱 (금속/물/산화제 등 구체적 물질군),INDEPENDENT,유지 권고,
1314-62-1,VANADIUM PENTOXIDE,50;60,wave2,UNJUSTIFIED,"자동 그룹슬롯 보충 물질 — 자체 §10 근거 없음, 커리큘럼 근거 없음, 소속 그룹도 이미 회소하지 않음(다른 물질로 충분히 대표됨)","없음 (그룹 소속만 확인됨, 물질 단위 개별 근거 없음)",NONE,중복 검토(REMOVE/MERGE 후보),동일 CAMEO 그룹조합 보유 물질 4종과 역할 중복 가능: AMMONIUM PERMANGANATE(13446-10-1); AMMONIUM PERSULFATE(7727-54-0); AMMONIUM DICHROMATE(7789-09-5); AMMONIUM PERCHLORATE(7790-98-9)
1317-35-7,MANGANESE TETROXIDE,50;61,wave2,UNJUSTIFIED,"자동 그룹슬롯 보충 물질 — 자체 §10 근거 없음, 커리큘럼 근거 없음, 소속 그룹도 이미 회소하지 않음(다른 물질로 충분히 대표됨)","없음 (그룹 소속만 확인됨, 물질 단위 개별 근거 없음)",NONE,중복 검토(REMOVE/MERGE 후보),"동일 CAMEO 그룹조합 보유 물질 15종과 역할 중복 가능: SODIUM CHROMATE TETRAHYDRATE(10034-82-9); CHLORINATED TRISODIUM PHOSPHATE(11084-85-8); BARIUM PEROXIDE(1304-29-6); CALCIUM PEROXIDE(1305-79-9); BARIUM HYPOCHLORITE, WITH MORE THAN 22% AVAILABLE CHLORINE(13477-10-6); ZINC CHROMATE(13530-65-9); CALCIUM CHROMATE(13765-19-0); ZINC DICHROMATE(14018-95-2); LITHIUM CHROMATE(14307-35-8); MAGNESIUM PEROXIDE(14452-57-4); SODIUM CHLORITE(7758-19-2); LEAD CHROMATE(7758-97-6); POTASSIUM BICHROMATE(7778-50-9); POTASSIUM CHROMATE(7789-00-6); STRONTIUM CHROMATE(7789-06-2) | §10.5에 범용 카테고리 문구('가연성 물질, 환원성 물질')만 있어 CASE 2 기준상 HAZARD-RELEVANT 단독 근거로 불충분(docs/hazard_relevant_sample_audit_2026-08-08.md)"
1333-82-0,"CHROMIUM TRIOXIDE, ANHYDROUS",15;50,wave2,UNJUSTIFIED,"자동 그룹슬롯 보충 물질 — 자체 §10 근거 없음, 커리큘럼 근거 없음, 소속 그룹도 이미 회소하지 않음(다른 물질로 충분히 대표됨)","없음 (그룹 소속만 확인됨, 물질 단위 개별 근거 없음)",NONE,근거 부족/검토,"그룹조합 자체는 426종 내 유일하나, 그룹이 회소하지 않거나(그룹 내 다른 대표물질 이미 존재) 개별 위험성 근거가 아직 확인되지 않음"
13446-10-1,AMMONIUM PERMANGANATE,50;60,wave2,UNJUSTIFIED,"자동 그룹슬롯 보충 물질 — 자체 §10 근거 없음, 커리큘럼 근거 없음, 소속 그룹도 이미 회소하지 않음(다른 물질로 충분히 대표됨)","없음 (그룹 소속만 확인됨, 물질 단위 개별 근거 없음)",NONE,중복 검토(REMOVE/MERGE 후보),"동일 CAMEO 그룹조합 보유 물질 4종과 역할 중복 가능: VANADIUM PENTOXIDE(1314-62-1); AMMONIUM PERSULFATE(7727-54-0); AMMONIUM DICHROMATE(7789-09-5); AMMONIUM PERCHLORATE(7790-98-9) | §10.5에 범용 카테고리 문구('가연성 물질, 환원성 물질')만 있어 CASE 2 기준상 HAZARD-RELEVANT 단독 근거로 불충분(docs/hazard_relevant_sample_audit_2026-08-08.md)"
13450-97-0,STRONTIUM PERCHLORATE,50,wave2,UNJUSTIFIED,"자동 그룹슬롯 보충 물질 — 자체 §10 근거 없음, 커리큘럼 근거 없음, 소속 그룹도 이미 회소하지 않음(다른 물질로 충분히 대표됨)","없음 (그룹 소속만 확인됨, 물질 단위 개별 근거 없음)",NONE,중복 검토(REMOVE/MERGE 후보),"동일 CAMEO 그룹조합 보유 물질 29종과 역할 중복 가능: POTASSIUM PERMANGANATE(7722-64-7); MAGNESIUM PERCHLORATE(10034-81-8); SODIUM PERMANGANATE(10101-50-5); CALCIUM PERMANGANATE(10118-76-0); OXYGEN(7782-44-7); MAGNESIUM CHLORATE(10326-21-3); ZINC CHLORATE(10361-95-2); T-BUTYL CHROMATE(1189-85-1); LEAD DIOXIDE(1309-60-0); ZINC PEROXIDE(1314-22-3); CALCIUM PERCHLORATE(13477-36-6); LEAD PERCHLORATE(13637-76-8); BARIUM BROMATE(13967-90-3); ZINC BROMATE(14519-07-4); MAGNESIUM BROMATE(14519-17-6); BROMATES, INORGANIC, N.O.S.(15541-45-4); OSMIUM TETROXIDE(20816-12-0); ZINC PERMANGANATE(23414-72-4); TERT-BUTYL HYPOCHLORITE(507-40-4); LEAD TETRAACETATE(546-67-8); SELENIUM DIOXIDE(7446-08-4); SODIUM PERCHLORATE(7601-89-0); POTASSIUM PERSULFATE(7727-21-1); POTASSIUM BROMATE(7758-01-2); SODIUM PERSULFATE(7775-27-1); POTASSIUM PERCHLORATE(7778-74-7); BARIUM PERMANGANATE(7787-36-2); SODIUM BROMATE(7789-38-0); STRONTIUM CHLORATE(7791-10-8) | §10.5에 범용 카테고리 문구('가연성 물질, 환원성 물질')만 있어 CASE 2 기준상 HAZARD-RELEVANT 단독 근거로 불충분(docs/hazard_relevant_sample_audit_2026-08-08.md)"
13477-10-6,"BARIUM HYPOCHLORITE, WITH MORE THAN 22% AVAILABLE CHLORINE",50;61,wave2,UNJUSTIFIED,"자동 그룹슬롯 보충 물질 — 자체 §10 근거 없음, 커리큘럼 근거 없음, 소속 그룹도 이미 회소하지 않음(다른 물질로 충분히 대표됨)","없음 (그룹 소속만 확인됨, 물질 단위 개별 근거 없음)",NONE,중복 검토(REMOVE/MERGE 후보),"동일 CAMEO 그룹조합 보유 물질 15종과 역할 중복 가능: SODIUM CHROMATE TETRAHYDRATE(10034-82-9); CHLORINATED TRISODIUM PHOSPHATE(11084-85-8); BARIUM PEROXIDE(1304-29-6); CALCIUM PEROXIDE(1305-79-9); MANGANESE TETROXIDE(1317-35-7); ZINC CHROMATE(13530-65-9); CALCIUM CHROMATE(13765-19-0); ZINC DICHROMATE(14018-95-2); LITHIUM CHROMATE(14307-35-8); MAGNESIUM PEROXIDE(14452-57-4); SODIUM CHLORITE(7758-19-2); LEAD CHROMATE(7758-97-6); POTASSIUM BICHROMATE(7778-50-9); POTASSIUM CHROMATE(7789-00-6); STRONTIUM CHROMATE(7789-06-2) | §10.5에 범용 카테고리 문구('가연성 물질, 환원성 물질')만 있어 CASE 2 기준상 HAZARD-RELEVANT 단독 근거로 불충분(docs/hazard_relevant_sample_audit_2026-08-08.md)"
13477-36-6,CALCIUM PERCHLORATE,50,wave2,UNJUSTIFIED,"자동 그룹슬롯 보충 물질 — 자체 §10 근거 없음, 커리큘럼 근거 없음, 소속 그룹도 이미 회소하지 않음(다른 물질로 충분히 대표됨)","없음 (그룹 소속만 확인됨, 물질 단위 개별 근거 없음)",NONE,중복 검토(REMOVE/MERGE 후보),"동일 CAMEO 그룹조합 보유 물질 29종과 역할 중복 가능: POTASSIUM PERMANGANATE(7722-64-7); MAGNESIUM PERCHLORATE(10034-81-8); SODIUM PERMANGANATE(10101-50-5); CALCIUM PERMANGANATE(10118-76-0); OXYGEN(7782-44-7); MAGNESIUM CHLORATE(10326-21-3); ZINC CHLORATE(10361-95-2); T-BUTYL CHROMATE(1189-85-1); LEAD DIOXIDE(1309-60-0); ZINC PEROXIDE(1314-22-3); STRONTIUM PERCHLORATE(13450-97-0); LEAD PERCHLORATE(13637-76-8); BARIUM BROMATE(13967-90-3); ZINC BROMATE(14519-07-4); MAGNESIUM BROMATE(14519-17-6); BROMATES, INORGANIC, N.O.S.(15541-45-4); OSMIUM TETROXIDE(20816-12-0); ZINC PERMANGANATE(23414-72-4); TERT-BUTYL HYPOCHLORITE(507-40-4); LEAD TETRAACETATE(546-67-8); SELENIUM DIOXIDE(7446-08-4); SODIUM PERCHLORATE(7601-89-0); POTASSIUM PERSULFATE(7727-21-1); POTASSIUM BROMATE(7758-01-2); SODIUM PERSULFATE(7775-27-1); POTASSIUM PERCHLORATE(7778-74-7); BARIUM PERMANGANATE(7787-36-2); SODIUM BROMATE(7789-38-0); STRONTIUM CHLORATE(7791-10-8) | §10.5에 범용 카테고리 문구('가연성 물질, 환원성 물질')만 있어 CASE 2 기준상 HAZARD-RELEVANT 단독 근거로 불충분(docs/hazard_relevant_sample_audit_2026-08-08.md)"
13530-65-9,ZINC CHROMATE,50;61,wave2,UNJUSTIFIED,"자동 그룹슬롯 보충 물질 — 자체 §10 근거 없음, 커리큘럼 근거 없음, 소속 그룹도 이미 회소하지 않음(다른 물질로 충분히 대표됨)","없음 (그룹 소속만 확인됨, 물질 단위 개별 근거 없음)",NONE,중복 검토(REMOVE/MERGE 후보),"동일 CAMEO 그룹조합 보유 물질 15종과 역할 중복 가능: SODIUM CHROMATE TETRAHYDRATE(10034-82-9); CHLORINATED TRISODIUM PHOSPHATE(11084-85-8); BARIUM PEROXIDE(1304-29-6); CALCIUM PEROXIDE(1305-79-9); MANGANESE TETROXIDE(1317-35-7); BARIUM HYPOCHLORITE, WITH MORE THAN 22% AVAILABLE CHLORINE(13477-10-6); CALCIUM CHROMATE(13765-19-0); ZINC DICHROMATE(14018-95-2); LITHIUM CHROMATE(14307-35-8); MAGNESIUM PEROXIDE(14452-57-4); SODIUM CHLORITE(7758-19-2); LEAD CHROMATE(7758-97-6); POTASSIUM BICHROMATE(7778-50-9); POTASSIUM CHROMATE(7789-00-6); STRONTIUM CHROMATE(7789-06-2)"
13637-76-8,LEAD PERCHLORATE,50,wave2,UNJUSTIFIED,"자동 그룹슬롯 보충 물질 — 자체 §10 근거 없음, 커리큘럼 근거 없음, 소속 그룹도 이미 회소하지 않음(다른 물질로 충분히 대표됨)","없음 (그룹 소속만 확인됨, 물질 단위 개별 근거 없음)",NONE,중복 검토(REMOVE/MERGE 후보),"동일 CAMEO 그룹조합 보유 물질 29종과 역할 중복 가능: POTASSIUM PERMANGANATE(7722-64-7); MAGNESIUM PERCHLORATE(10034-81-8); SODIUM PERMANGANATE(10101-50-5); CALCIUM PERMANGANATE(10118-76-0); OXYGEN(7782-44-7); MAGNESIUM CHLORATE(10326-21-3); ZINC CHLORATE(10361-95-2); T-BUTYL CHROMATE(1189-85-1); LEAD DIOXIDE(1309-60-0); ZINC PEROXIDE(1314-22-3); STRONTIUM PERCHLORATE(13450-97-0); CALCIUM PERCHLORATE(13477-36-6); BARIUM BROMATE(13967-90-3); ZINC BROMATE(14519-07-4); MAGNESIUM BROMATE(14519-17-6); BROMATES, INORGANIC, N.O.S.(15541-45-4); OSMIUM TETROXIDE(20816-12-0); ZINC PERMANGANATE(23414-72-4); TERT-BUTYL HYPOCHLORITE(507-40-4); LEAD TETRAACETATE(546-67-8); SELENIUM DIOXIDE(7446-08-4); SODIUM PERCHLORATE(7601-89-0); POTASSIUM PERSULFATE(7727-21-1); POTASSIUM BROMATE(7758-01-2); SODIUM PERSULFATE(7775-27-1); POTASSIUM PERCHLORATE(7778-74-7); BARIUM PERMANGANATE(7787-36-2); SODIUM BROMATE(7789-38-0); STRONTIUM CHLORATE(7791-10-8) | §10.5에 범용 카테고리 문구('가연성 물질, 환원성 물질')만 있어 CASE 2 기준상 HAZARD-RELEVANT 단독 근거로 불충분(docs/hazard_relevant_sample_audit_2026-08-08.md)"
13765-19-0,CALCIUM CHROMATE,50;61,wave2,UNJUSTIFIED,"자동 그룹슬롯 보충 물질 — 자체 §10 근거 없음, 커리큘럼 근거 없음, 소속 그룹도 이미 회소하지 않음(다른 물질로 충분히 대표됨)","없음 (그룹 소속만 확인됨, 물질 단위 개별 근거 없음)",NONE,중복 검토(REMOVE/MERGE 후보),"동일 CAMEO 그룹조합 보유 물질 15종과 역할 중복 가능: SODIUM CHROMATE TETRAHYDRATE(10034-82-9); CHLORINATED TRISODIUM PHOSPHATE(11084-85-8); BARIUM PEROXIDE(1304-29-6); CALCIUM PEROXIDE(1305-79-9); MANGANESE TETROXIDE(1317-35-7); BARIUM HYPOCHLORITE, WITH MORE THAN 22% AVAILABLE CHLORINE(13477-10-6); ZINC CHROMATE(13530-65-9); ZINC DICHROMATE(14018-95-2); LITHIUM CHROMATE(14307-35-8); MAGNESIUM PEROXIDE(14452-57-4); SODIUM CHLORITE(7758-19-2); LEAD CHROMATE(7758-97-6); POTASSIUM BICHROMATE(7778-50-9); POTASSIUM CHROMATE(7789-00-6); STRONTIUM CHROMATE(7789-06-2)"
